FID,ID,FIELD,OID_1,YLD00,YLD01,YLD02,YLD03,AVGYLD,ELE,SLOPE,CURV,PRO,PLAN,EC_SH,EC_DP,BAND1,BAND2,BAND3,BAND4,VI00_520,VI00_528,VI00_613,VI00_707,VI00_715,VI00_723,VI00_816,VI00_824,VI00_901,VI00_917,VI01_616,VI01_624,VI01_710,VI01_827,VI01_912,VI02_518,VI02_526,VI02_619,VI02_713,VI02_721,VI02_830,VI02_907,VI02_923,VI03_505,VI03_529,VI03_606,VI03_622,VI03_724,VI03_825,VI03_926,STD00,STD01,STD02,STD03,CV,M3_00,M3_01,M3_02,M3_03,M3_AV,CL_AV,CL_00,CL_01,CL_02,CL_03
10,3045,C29,3044,779.7000122,1728.3000488,1043.1999512,1294,1211.4000244,1080.119999999999900,0.0940000,0.004280000000000,-0.001075000000000,0.003205000000000,15.8000002,41.7000008,94,89,116,81,-0.1959000,-0.1880000,-0.1519000,0.1161000,0.2955000,0.3782000,0.4684000,0.3299000,0.2025000,-0.0452000,-0.2072000,-0.1750000,0.0698000,0.4747000,0.3690000,-0.192982456000000,-0.209125475000000,-0.217021277000000,-0.069565217000000,0.045454545000000,0.380434783000000,0.333333333000000,0.047120419000000,-0.048648649000000,-0.230188679000000,-0.175824176000000,-0.167630058000000,0.016574586000000,0.160839161000000,0.128834356000000,0.9000000,1.4100000,0.9700000,1,0.2730000,2.0000000,1.0000000,2.0000000,2.0000000,2.0000000,3.000000000000000,3.000000000000000,1.000000000000000,3.000000000000000,3.000000000000000
11,3046,C29,3045,782.4000244,1726.1999512,1013.9000244,1249,1193.0000000,1080.140000000000100,0.0912000,0.004945000000000,-0.002969000000000,0.001977000000000,15.1999998,38.0000000,96,87,119,82,-0.1959000,-0.1864000,-0.1519000,0.1041000,0.2697000,0.3575000,0.4839000,0.3990000,0.1975000,-0.0355000,-0.2018000,-0.1837000,0.0498000,0.5179000,0.3690000,-0.192982456000000,-0.207843137000000,-0.215517241000000,-0.086206897000000,0.034883721000000,0.448648649000000,0.345238095000000,0.109890110000000,-0.053763441000000,-0.219330855000000,-0.155555556000000,-0.177142857000000,0.016393443000000,0.164383562000000,0.100591716000000,0.9100000,1.4000000,0.9500000,1,0.2580000,2.0000000,1.0000000,2.0000000,2.0000000,2.0000000,1.000000000000000,3.000000000000000,1.000000000000000,1.000000000000000,3.000000000000000
12,3047,C29,3046,793.5000000,1656.0999756,1015.7999878,1204,1167.3000488,1080.170000000000100,0.0970000,0.000632000000000,0.000287000000000,0.000919000000000,15.1000004,37.2999992,94,87,120,81,-0.2013000,-0.1806000,-0.1592000,0.0909000,0.2486000,0.3505000,0.4650000,0.3869000,0.1975000,-0.0348000,-0.2159000,-0.1855000,0.0541000,0.4974000,0.3617000,-0.206896552000000,-0.218390805000000,-0.215517241000000,-0.086206897000000,0.005649718000000,0.437500000000000,0.361445783000000,0.106382979000000,-0.052083333000000,-0.229629630000000,-0.169398907000000,-0.163841808000000,0.021739130000000,0.183673469000000,0.125748503000000,0.9200000,1.3500000,0.9500000,1,0.2260000,2.0000000,1.0000000,2.0000000,2.0000000,2.0000000,1.000000000000000,3.000000000000000,1.000000000000000,1.000000000000000,3.000000000000000
13,3048,C29,3047,775.2999878,1706.1999512,988.0000000,1168,1159.3000488,1080.230000000000000,0.1450000,0.003992000000000,0.001317000000000,0.005309000000000,14.6999998,31.0000000,96,87,124,83,-0.2040000,-0.1861000,-0.1750000,0.0815000,0.2402000,0.3604000,0.4340000,0.3600000,0.2025000,-0.0297000,-0.2159000,-0.1903000,0.0400000,0.4592000,0.3298000,-0.205128205000000,-0.215094340000000,-0.219917012000000,-0.088607595000000,0.000000000000000,0.430107527000000,0.309523810000000,0.089947090000000,-0.052083333000000,-0.227941176000000,-0.178378378000000,-0.169398907000000,0.027322404000000,0.140939597000000,0.095238095000000,0.9000000,1.3900000,0.9200000,1,0.2460000,2.0000000,1.0000000,2.0000000,2.0000000,2.0000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000
14,3049,C29,3048,789.7999878,1467.4000244,1001.0000000,1188,1111.5999756,1080.290000000000000,0.1633000,0.003529000000000,0.000849000000000,0.004378000000000,14.3999996,38.2999992,98,88,128,85,-0.2081000,-0.1775000,-0.1801000,0.0862000,0.2597000,0.3469000,0.4410000,0.3600000,0.1976000,-0.0392000,-0.2124000,-0.1855000,0.0308000,0.4660000,0.2953000,-0.205357143000000,-0.207547170000000,-0.219917012000000,-0.132530120000000,0.000000000000000,0.404255319000000,0.298245614000000,0.089947090000000,-0.056994819000000,-0.225092251000000,-0.178378378000000,-0.180327869000000,-0.010638298000000,0.114093960000000,0.057471264000000,0.9100000,1.1900001,0.9300000,1,0.1860000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000
15,3050,C29,3049,708.7000122,1364.5999756,962.2999878,1121,1039.1999512,1080.349999999999900,0.1741000,0.004101000000000,-0.002379000000000,0.001721000000000,13.8000002,43.2999992,94,93,126,87,-0.1973000,-0.1883000,-0.1779000,0.0303000,0.2316000,0.2755000,0.3620000,0.3069000,0.1765000,-0.0196000,-0.2159000,-0.1873000,0.0175000,0.4583000,0.3026000,-0.189743590000000,-0.220973783000000,-0.219917012000000,-0.124497992000000,0.000000000000000,0.347593583000000,0.264367816000000,0.061855670000000,-0.066666667000000,-0.233576642000000,-0.177777778000000,-0.180327869000000,0.010752688000000,0.112582781000000,0.064327485000000,0.8200000,1.1100000,0.9000000,1,0.1810000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,1.000000000000000,3.000000000000000,1.000000000000000,1.000000000000000,3.000000000000000
16,3051,C29,3050,763.9000244,1300.1999512,1007.9000244,1176,1061.9000244,1080.390000000000100,0.1309000,0.004983000000000,-0.002425000000000,0.002558000000000,13.1999998,38.2999992,94,94,127,87,-0.2013000,-0.1867000,-0.1801000,0.0439000,0.2135000,0.2718000,0.3827000,0.3300000,0.1953000,-0.0192000,-0.2105000,-0.1855000,0.0357000,0.4479000,0.3229000,-0.167567568000000,-0.228464419000000,-0.219917012000000,-0.105691057000000,-0.015873016000000,0.382978723000000,0.302325581000000,0.078534031000000,-0.071428571000000,-0.238095238000000,-0.164835165000000,-0.171270718000000,0.000000000000000,0.112582781000000,0.089820359000000,0.8800000,1.0599999,0.9400000,1,0.1720000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000
17,3052,C29,3051,853.4000244,1195.9000244,1030.0000000,1170,1062.3000488,1080.400000000000100,0.1374000,-0.002629000000000,-0.000719000000000,-0.003349000000000,12.8000002,37.2000008,92,92,136,91,-0.2040000,-0.1830000,-0.1698000,0.0563000,0.2222000,0.2893000,0.4024000,0.3333000,0.2047000,-0.0192000,-0.2105000,-0.1855000,0.0308000,0.4315000,0.2727000,-0.177664975000000,-0.228464419000000,-0.229508197000000,-0.117187500000000,-0.005291005000000,0.414893617000000,0.284090909000000,0.078534031000000,-0.055837563000000,-0.223880597000000,-0.182795699000000,-0.169398907000000,0.010989011000000,0.111111111000000,0.080459770000000,0.9900000,0.9700000,0.9600000,1,0.1490000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.000000000000000,2.000000000000000,2.000000000000000,1.000000000000000,2.000000000000000
18,3053,C29,3052,989.9000244,1262.0999756,1045.6999512,1166,1115.9000244,1080.470000000000000,0.2421000,-0.005114000000000,0.004176000000000,-0.000938000000000,11.8999996,34.7000008,86,95,134,91,-0.2053000,-0.1878000,-0.1707000,0.0717000,0.2402000,0.2935000,0.3976000,0.3014000,0.1839000,-0.0874000,-0.2070000,-0.1840000,0.0218000,0.4040000,0.2438000,-0.184079602000000,-0.222222222000000,-0.211382114000000,-0.130769231000000,-0.010309278000000,0.340314136000000,0.250000000000000,0.055837563000000,-0.064039409000000,-0.236363636000000,-0.178947368000000,-0.175257732000000,0.010989011000000,0.105263158000000,0.048648649000000,1.1500000,1.0300000,0.9700000,1,0.1290000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,2.000000000000000,2.000000000000000,2.000000000000000,1.000000000000000,2.000000000000000
19,3072,C29,3071,1087.9000244,1139.6999512,1050.0999756,1297,1143.5999756,1079.930000000000100,0.1456000,0.002631000000000,-0.003935000000000,-0.001304000000000,22.3999996,54.5999985,92,85,105,76,-0.1812000,-0.1810000,-0.1677000,0.1376000,0.1512000,0.3763000,0.4805000,0.3538000,0.2739000,-0.0505000,-0.2018000,-0.1810000,0.0233000,0.3968000,0.2147000,-0.203539823000000,-0.207843137000000,-0.205240175000000,-0.061403509000000,0.085365854000000,0.250000000000000,0.192982456000000,0.000000000000000,-0.053763441000000,-0.239543726000000,-0.168539326000000,-0.135483871000000,-0.033707865000000,0.140845070000000,0.116279070000000,1.2600000,0.9300000,0.9800000,1,0.2250000,1.0000000,3.0000000,1.0000000,2.0000000,1.0000000,3.000000000000000,1.000000000000000,3.000000000000000,3.000000000000000,3.000000000000000
20,3073,C29,3072,1019.7999878,1238.5999756,1093.9000244,1368,1180.0000000,1079.960000000000000,0.0758000,-0.003038000000000,0.002461000000000,-0.000577000000000,24.6000004,61.5999985,92,82,103,74,-0.1884000,-0.1875000,-0.1447000,0.2000000,0.3140000,0.4043000,0.5226000,0.4082000,0.2387000,-0.0408000,-0.1963000,-0.1630000,0.0187000,0.4516000,0.2461000,-0.206896552000000,-0.214007782000000,-0.212389381000000,-0.013824885000000,0.101796407000000,0.318435754000000,0.236363636000000,0.037433155000000,-0.048648649000000,-0.234375000000000,-0.169590643000000,-0.165644172000000,0.045977011000000,0.169014085000000,0.175000000000000,1.1799999,1.0100000,1.0200000,1,0.2190000,1.0000000,1.0000000,1.0000000,2.0000000,1.0000000,3.000000000000000,1.000000000000000,3.000000000000000,3.000000000000000,3.000000000000000
21,3074,C29,3073,935.2000122,1556.5999756,1061.5000000,1306,1214.8000488,1079.970000000000000,0.0878000,-0.005263000000000,0.003866000000000,-0.001397000000000,22.6000004,50.4000015,92,85,108,74,-0.1912000,-0.1818000,-0.1558000,0.1643000,0.3099000,0.3862000,0.5099000,0.4010000,0.2357000,-0.0462000,-0.1887000,-0.1826000,0.0431000,0.4497000,0.3298000,-0.198237885000000,-0.209486166000000,-0.207207207000000,-0.044642857000000,0.117647059000000,0.418994413000000,0.312883436000000,0.087912088000000,-0.055555556000000,-0.228915663000000,-0.164705882000000,-0.165644172000000,0.028248588000000,0.194444444000000,0.210191083000000,1.0800000,1.2700000,0.9900000,1,0.1890000,1.0000000,1.0000000,1.0000000,2.0000000,1.0000000,3.000000000000000,1.000000000000000,1.000000000000000,3.000000000000000,3.000000000000000
22,3075,C29,3074,913.9000244,1554.1999512,1078.0000000,1365,1227.8000488,1080.010000000000000,0.1702000,-0.015613000000000,0.007941000000000,-0.007672000000000,19.3999996,44.0000000,94,82,106,74,-0.1971000,-0.1770000,-0.1613000,0.1429000,0.2832000,0.3542000,0.4510000,0.3679000,0.2152000,-0.0297000,-0.1944000,-0.1660000,0.0415000,0.4819000,0.3511000,-0.198237885000000,-0.221789883000000,-0.210526316000000,-0.057777778000000,0.069767442000000,0.445652174000000,0.345238095000000,0.146067416000000,-0.048648649000000,-0.220472441000000,-0.162011173000000,-0.157232704000000,0.011111111000000,0.151079137000000,0.120481928000000,1.0599999,1.2600000,1.0000000,1,0.2170000,2.0000000,1.0000000,2.0000000,2.0000000,2.0000000,3.000000000000000,1.000000000000000,1.000000000000000,3.000000000000000,3.000000000000000
23,3076,C29,3075,792.5000000,1349.3000488,923.7000122,1257,1080.6999512,1080.109999999999900,0.1829000,0.009218000000000,-0.007920000000000,0.001298000000000,17.2000008,36.5000000,92,86,106,76,-0.1959000,-0.1880000,-0.1795000,0.1081000,0.2809000,0.3403000,0.4323000,0.3438000,0.1656000,-0.0443000,-0.2018000,-0.1750000,0.0411000,0.4660000,0.2880000,-0.200000000000000,-0.224334601000000,-0.220338983000000,-0.078260870000000,0.056818182000000,0.420765027000000,0.233532934000000,0.068783069000000,-0.038251366000000,-0.228464419000000,-0.164835165000000,-0.170454545000000,0.054347826000000,0.146853147000000,0.064327485000000,0.9200000,1.1000000,0.8600000,1,0.2240000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,1.000000000000000,3.000000000000000,1.000000000000000,1.000000000000000,3.000000000000000
24,3077,C29,3076,854.0999756,1314.5999756,993.9000244,1282,1111.0999756,1080.150000000000100,0.0581000,0.000272000000000,0.001581000000000,0.001854000000000,19.0000000,37.7000008,90,84,107,75,-0.1932000,-0.1864000,-0.1772000,0.1019000,0.2614000,0.3508000,0.4510000,0.3263000,0.1875000,-0.0462000,-0.2072000,-0.1918000,0.0415000,0.5183000,0.3511000,-0.200000000000000,-0.221789883000000,-0.222222222000000,-0.061946903000000,0.056818182000000,0.374301676000000,0.296969697000000,0.021052632000000,-0.038674033000000,-0.233082707000000,-0.177777778000000,-0.162790698000000,0.043956044000000,0.166666667000000,0.137500000000000,0.9900000,1.0700001,0.9300000,1,0.2050000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,1.000000000000000,1.000000000000000,1.000000000000000,3.000000000000000,3.000000000000000
25,3078,C29,3077,898.5999756,1352.1999512,1080.1999512,1219,1137.5999756,1080.160000000000100,0.0699000,-0.008610000000000,0.005620000000000,-0.002991000000000,19.6000004,35.7999992,92,85,110,77,-0.1973000,-0.1833000,-0.1795000,0.1185000,0.2529000,0.3508000,0.4737000,0.3608000,0.2025000,-0.0363000,-0.2000000,-0.1967000,0.0502000,0.5204000,0.3656000,-0.192982456000000,-0.224806202000000,-0.212121212000000,-0.078260870000000,0.080459770000000,0.422222222000000,0.337349398000000,0.112359551000000,-0.033333333000000,-0.233082707000000,-0.169398907000000,-0.176470588000000,0.028248588000000,0.158620690000000,0.144578313000000,1.0400000,1.1000000,1.0100000,1,0.1400000,2.0000000,1.0000000,2.0000000,2.0000000,2.0000000,1.000000000000000,1.000000000000000,1.000000000000000,3.000000000000000,3.000000000000000
26,3079,C29,3078,882.0999756,1362.9000244,1178.9000244,1251,1168.8000488,1080.190000000000100,0.0916000,-0.011649000000000,0.006901000000000,-0.004747000000000,18.7000008,34.7000008,94,86,115,80,-0.1932000,-0.1883000,-0.1895000,0.1121000,0.2386000,0.3472000,0.4805000,0.3608000,0.2075000,-0.0348000,-0.2054000,-0.1799000,0.0446000,0.5258000,0.3057000,-0.187772926000000,-0.223076923000000,-0.220338983000000,-0.081545064000000,0.063583815000000,0.441340782000000,0.325301205000000,0.131868132000000,-0.032608696000000,-0.221374046000000,-0.178378378000000,-0.162790698000000,0.027932961000000,0.121621622000000,0.153374233000000,1.0200000,1.1100000,1.1000000,1,0.1420000,2.0000000,1.0000000,2.0000000,2.0000000,2.0000000,1.000000000000000,1.000000000000000,1.000000000000000,3.000000000000000,3.000000000000000
27,3080,C29,3079,792.2000122,1229.5000000,1016.2999878,1179,1054.3000488,1080.250000000000000,0.1588000,-0.008688000000000,0.003831000000000,-0.004857000000000,19.3999996,35.2999992,94,84,122,82,-0.1797000,-0.1814000,-0.1871000,0.0578000,0.2343000,0.3163000,0.4359000,0.3641000,0.1829000,-0.0200000,-0.2124000,-0.1984000,0.0400000,0.4721000,0.3476000,-0.206751055000000,-0.226765799000000,-0.225000000000000,-0.132530120000000,0.022222222000000,0.396825397000000,0.273809524000000,0.131868132000000,-0.031914894000000,-0.235294118000000,-0.178378378000000,-0.175141243000000,0.049180328000000,0.106666667000000,0.056818182000000,0.9200000,1.0000000,0.9500000,1,0.1650000,2.0000000,1.0000000,1.0000000,2.0000000,1.0000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000
28,3081,C29,3080,771.7999878,1195.5000000,972.0000000,1131,1017.5000000,1080.329999999999900,0.1650000,0.002657000000000,-0.001599000000000,0.001058000000000,17.2999992,33.9000015,96,85,123,82,-0.1973000,-0.1883000,-0.1950000,0.0303000,0.2402000,0.3093000,0.3951000,0.3234000,0.1856000,-0.0297000,-0.2105000,-0.1807000,0.0268000,0.5079000,0.3026000,-0.198198198000000,-0.227272727000000,-0.226337449000000,-0.139534884000000,-0.005464481000000,0.387978142000000,0.263157895000000,0.107526882000000,-0.046632124000000,-0.222222222000000,-0.178378378000000,-0.180327869000000,0.027322404000000,0.114093960000000,0.034090909000000,0.8900000,0.9700000,0.9100000,1,0.1520000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,1.000000000000000,2.000000000000000,2.000000000000000,1.000000000000000,2.000000000000000
29,3082,C29,3081,751.4000244,1159.5000000,963.4000244,1189,1015.9000244,1080.400000000000100,0.1110000,0.010541000000000,-0.004673000000000,0.005868000000000,16.5000000,34.0000000,94,87,122,85,-0.1987000,-0.2032000,-0.2050000,0.0396000,0.1886000,0.2850000,0.3620000,0.2941000,0.1617000,-0.0392000,-0.2159000,-0.1870000,0.0308000,0.4555000,0.3651000,-0.189743590000000,-0.221374046000000,-0.216666667000000,-0.104838710000000,-0.010638298000000,0.351351351000000,0.245714286000000,0.041237113000000,-0.052083333000000,-0.225092251000000,-0.177777778000000,-0.177777778000000,0.010989011000000,0.112582781000000,0.064327485000000,0.8700000,0.9400000,0.9000000,1,0.1950000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000
30,3083,C29,3082,760.2999878,1267.5000000,1007.4000244,1216,1062.8000488,1080.430000000000100,0.0624000,0.004441000000000,-0.002809000000000,0.001633000000000,15.3999996,30.8999996,92,92,124,84,-0.1959000,-0.1920000,-0.1950000,0.0400000,0.1886000,0.2589000,0.3620000,0.2906000,0.1667000,-0.0392000,-0.2159000,-0.1968000,0.0396000,0.4286000,0.3299000,-0.168421053000000,-0.231343284000000,-0.210084034000000,-0.105691057000000,0.031914894000000,0.369565217000000,0.275862069000000,0.057591623000000,-0.046632124000000,-0.234200743000000,-0.164835165000000,-0.182320442000000,0.005524862000000,0.146666667000000,0.076923077000000,0.8800000,1.0300000,0.9400000,1,0.1950000,2.0000000,2.0000000,2.0000000,2.0000000,2.0000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000
